training_losses,training_recalls
0.6340511,0.203125
0.6234367,0.2578125
0.6376289,0.18359375
0.6381821,0.24609375
0.6246854,0.33203125
0.6333173,0.22265625
0.6390877,0.23046875
0.62984174,0.29296875
0.63483334,0.2421875
0.64164746,0.23046875
0.6265789,0.2578125
0.63011175,0.22265625
0.6253569,0.1953125
0.62892854,0.26953125
0.62557197,0.26171875
0.63067746,0.21875
0.6258651,0.2734375
0.63224983,0.2421875
0.62633896,0.30078125
0.632123,0.32421875
0.6203041,0.33203125
0.6333107,0.2109375
0.6316874,0.26171875
0.63487095,0.234375
0.62714815,0.31640625
0.6321915,0.26953125
0.6275806,0.1953125
0.6318923,0.2578125
0.64195764,0.234375
0.6233498,0.296875
0.6259251,0.27734375
0.625302,0.2265625
0.6231675,0.26953125
0.62531006,0.26953125
0.63445234,0.22265625
0.6287308,0.21875
0.62587273,0.29296875
0.62764704,0.3203125
0.62609893,0.23046875
0.63242525,0.26171875
0.6257972,0.23046875
0.6258292,0.27734375
0.630643,0.25390625
0.6266172,0.234375
0.6324328,0.28125
0.6325271,0.26953125
0.6266385,0.2265625
0.6199205,0.3046875
0.6310309,0.2109375
0.6325231,0.21875
0.6280089,0.2890625
0.6237321,0.3359375
0.6259568,0.17578125
0.62186044,0.2578125
0.61726224,0.21875
0.6293019,0.28125
0.6204795,0.23046875
0.6211435,0.28125
0.6229933,0.3046875
0.62011707,0.29296875
0.6197957,0.2734375
0.616931,0.29296875
0.62628907,0.27734375
0.6160182,0.25
0.62926525,0.328125
0.61334896,0.3828125
0.63358873,0.26953125
0.6359898,0.22265625
0.6275464,0.265625
0.625596,0.28125
0.6191839,0.29296875
0.6340543,0.28515625
0.6097405,0.3046875
0.62389135,0.3515625
0.625999,0.22265625
0.6255315,0.23828125
0.62523896,0.328125
0.61768436,0.328125
0.6280645,0.24609375
0.63265693,0.21875
0.6331283,0.28125
0.6191093,0.3359375
0.6246985,0.25390625
0.62828004,0.2265625
0.62475425,0.234375
0.6226996,0.2265625
0.6270443,0.21875
0.6203955,0.3046875
0.6219052,0.27734375
0.6280234,0.2734375
0.6227021,0.28125
0.6217946,0.26171875
0.6287921,0.23046875
0.62516856,0.265625
0.6269515,0.24609375
0.62360466,0.27734375
0.6181992,0.3359375
0.6306151,0.27734375
0.6310216,0.2578125
0.62371486,0.26953125
0.62537235,0.265625
0.6160995,0.30078125
0.62915075,0.25390625
0.6257251,0.25390625
0.61764497,0.2734375
0.61257863,0.34765625
0.6181435,0.2734375
0.6191188,0.2890625
0.6294266,0.26953125
0.62613106,0.2578125
0.6311135,0.26171875
0.62517154,0.20703125
0.6194215,0.22265625
0.6176975,0.265625
0.6247278,0.24609375
0.6290399,0.26171875
0.61609936,0.23828125
0.62339723,0.28515625
0.61017525,0.33984375
0.6221212,0.234375
0.63200516,0.25
0.61701655,0.25390625
0.6265147,0.23828125
0.63185084,0.2734375
0.6214562,0.19921875
0.6231034,0.26953125
0.6184332,0.28515625
0.6210419,0.26953125
0.6249887,0.25390625
0.6220839,0.27734375
0.62885344,0.19140625
0.6234582,0.25
0.61999846,0.21484375
0.6251757,0.3359375
0.614617,0.28125
0.6246701,0.2265625
0.62200654,0.296875
0.6147821,0.234375
0.6250826,0.28515625
0.62486434,0.2734375
0.6181837,0.2734375
0.6175842,0.23046875
0.62539625,0.19140625
0.61959213,0.2578125
0.611292,0.32421875
0.61493564,0.2734375
0.6158154,0.33203125
0.61445385,0.3203125
0.6166775,0.28515625
0.61755526,0.25
0.61793745,0.3125
0.6167915,0.3046875
0.60657597,0.328125
0.62368083,0.19140625
0.612916,0.34375
0.6184181,0.2734375
0.6192256,0.296875
0.6174788,0.27734375
0.61921656,0.296875
0.6236588,0.3359375
0.6252074,0.1953125
0.6333727,0.22265625
0.62099695,0.28125
0.62399733,0.25390625
0.6127411,0.29296875
0.6110409,0.3125
0.62192595,0.25
0.6092323,0.30859375
0.6055649,0.375
0.6159138,0.28515625
0.61911106,0.34375
0.6139276,0.234375
0.6133275,0.37109375
0.6200912,0.25
0.6071881,0.29296875
0.62169063,0.30078125
0.61403155,0.3515625
0.614274,0.328125
0.61514926,0.2890625
0.6120337,0.390625
0.62148684,0.2734375
0.6119256,0.34375
0.61925465,0.34765625
0.6171835,0.23046875
0.6086626,0.33203125
0.61199033,0.28125
0.6066284,0.359375
0.61123216,0.30078125
0.6118542,0.41015625
0.6180352,0.25
0.61054194,0.30859375
0.6142621,0.3203125
0.61622584,0.27734375
0.6081393,0.31640625
0.6236095,0.25390625
0.6119797,0.3203125
0.60959435,0.4140625
0.6051253,0.33203125
0.62021875,0.34375
0.6221063,0.2578125
0.61601937,0.3515625
0.6062306,0.3203125
0.612131,0.38671875
0.6089346,0.375
0.6142532,0.28515625
0.61225754,0.25390625
0.61669606,0.23046875
0.6085888,0.328125
0.6194339,0.2890625
0.610998,0.30078125
0.61333424,0.4140625
0.61551774,0.3125
