losses,recalls
0.54220194,0.486
0.5484914,0.412
0.5429985,0.466
0.54880005,0.454
0.5489384,0.442
0.543172,0.496
0.54422665,0.47
0.542228,0.468
0.54526985,0.498
0.53769106,0.51
0.54784054,0.458
0.54239446,0.498
0.5451626,0.452
0.538987,0.522
0.5521648,0.422
0.5512165,0.412
0.5479541,0.462
0.543395,0.498
0.54164845,0.464
0.54004145,0.486
0.54610795,0.49
0.5420869,0.476
0.53372437,0.55
0.5475864,0.464
0.53806025,0.508
0.5326535,0.546
0.54309565,0.47
0.5454691,0.436
0.5426972,0.484
0.5443723,0.496
0.5378812,0.516
0.5363344,0.544
0.539638,0.498
0.5389375,0.526
0.5434485,0.464
0.5426937,0.478
0.544621,0.472
0.5449969,0.428
0.54353046,0.49
0.5438276,0.43
0.5463982,0.452
0.54889286,0.418
0.54874045,0.46
0.5460957,0.476
0.5384419,0.536
0.54380435,0.482
0.54403,0.468
0.55572146,0.342
0.53852993,0.516
0.53902525,0.482
0.53958565,0.482
0.54892033,0.436
0.54937327,0.376
0.53482985,0.586
0.53625923,0.534
0.5412653,0.462
0.54275,0.484
0.5418631,0.452
0.5360356,0.516
0.53844434,0.49
0.5438911,0.476
0.54543525,0.48
0.5374989,0.516
0.5478725,0.466
0.5389915,0.508
0.5374287,0.496
0.5380826,0.534
0.5420165,0.46
0.54207987,0.518
0.54418147,0.498
0.5437853,0.482
0.5386659,0.508
0.54139966,0.478
0.5412025,0.502
0.5489819,0.432
0.5417384,0.496
0.5371096,0.514
0.53995186,0.474
0.5368599,0.504
0.5451519,0.46
0.54302937,0.46
0.5418734,0.476
0.5424445,0.448
0.5433858,0.462
0.5392463,0.486
0.5349595,0.51
0.5418749,0.46
0.5386394,0.528
0.5410693,0.436
0.5375398,0.526
0.5419509,0.484
0.536038,0.542
0.54161423,0.47
0.54058963,0.492
0.53721577,0.504
0.529558,0.528
0.537264,0.522
0.54403466,0.446
0.5350754,0.546
0.54126596,0.5
0.5351826,0.564
0.5416032,0.466
0.5454013,0.442
0.53930753,0.492
0.54134077,0.522
0.53830796,0.552
0.53928846,0.498
0.54010165,0.516
0.54379094,0.488
0.54073805,0.46
0.5340162,0.512
0.53830695,0.52
0.54211503,0.448
0.54401636,0.464
0.5370878,0.522
0.53689075,0.518
0.5332497,0.542
0.5363047,0.52
0.5350801,0.528
0.5324124,0.524
0.5383461,0.512
0.54054123,0.488
0.5422119,0.468
0.5396685,0.466
0.5313747,0.466
0.5213203,0.49
0.5202207,0.51
0.52439785,0.494
0.52309847,0.49
0.5209866,0.486
0.5267724,0.458
0.5198711,0.544
0.52219415,0.556
0.51737857,0.52
0.5227643,0.508
0.51559085,0.566
0.517586,0.55
0.5219173,0.5
0.5223431,0.498
0.52209806,0.482
0.5263542,0.452
0.5233007,0.442
0.53115636,0.47
0.5226581,0.462
0.5176833,0.462
0.5285944,0.49
0.5185031,0.526
0.51899916,0.488
0.50727344,0.606
0.5178684,0.496
0.5198341,0.468
0.5240076,0.536
0.52493554,0.466
0.5231202,0.49
0.5197888,0.508
0.51802343,0.532
0.519782,0.506
0.5257362,0.494
0.51805043,0.514
0.5240791,0.532
0.52421194,0.494
0.5255993,0.468
0.5191083,0.496
0.5183316,0.506
0.5268131,0.46
0.5235971,0.434
0.51740104,0.514
0.52340794,0.536
0.52611893,0.444
0.520121,0.5
0.5138051,0.536
0.5139424,0.568
0.5254754,0.49
0.51958627,0.514
0.52215844,0.46
