losses,recalls
0.5361281,0.5
0.53693783,0.506
0.53952926,0.42
0.5334437,0.464
0.5341542,0.472
0.5324249,0.548
0.5306169,0.492
0.53983194,0.41
0.5311565,0.498
0.5344362,0.434
0.53067696,0.518
0.53034586,0.474
0.5362664,0.504
0.53865397,0.472
0.5357516,0.474
0.5415065,0.492
0.533066,0.49
0.5333009,0.496
0.53562474,0.46
0.53408784,0.454
0.5359042,0.508
0.53757,0.436
0.53694654,0.464
0.526678,0.522
0.53252614,0.508
0.5310916,0.52
0.5286862,0.536
0.5352573,0.512
0.528825,0.542
0.53210396,0.496
0.5351348,0.502
0.5256686,0.564
0.5366752,0.478
0.53355306,0.478
0.53269106,0.46
0.5306055,0.472
0.53770214,0.464
0.5350569,0.518
0.5294283,0.544
0.53596765,0.464
0.53523785,0.454
0.53509533,0.458
0.53443986,0.47
0.53786665,0.458
0.5345912,0.446
0.5241553,0.598
0.52926826,0.5
0.5278499,0.544
0.539065,0.448
0.5292162,0.52
0.5336053,0.504
0.5331287,0.5
0.53936774,0.472
0.53422344,0.502
0.538082,0.476
0.5381501,0.502
0.53194106,0.488
0.53238606,0.522
0.53008,0.528
0.53653383,0.448
0.5303214,0.538
0.5279721,0.524
0.5393789,0.448
0.52384204,0.55
0.53676844,0.472
0.5333029,0.504
0.52910656,0.568
0.5351942,0.488
0.53632563,0.484
0.5393514,0.428
0.5293836,0.54
0.5335529,0.49
0.53739256,0.444
0.5327855,0.518
0.53317314,0.504
0.5265761,0.508
0.5340195,0.488
0.53057164,0.52
0.5316117,0.47
0.5302599,0.548
0.5332798,0.46
0.52953196,0.536
0.5347793,0.522
0.53642434,0.502
0.5374029,0.434
0.5355473,0.48
0.53056866,0.5
0.5327892,0.47
0.5336177,0.482
0.5275344,0.546
0.5252997,0.51
0.5369123,0.448
0.5333932,0.52
0.52726495,0.548
0.5305253,0.55
0.5371505,0.446
0.5335195,0.502
0.529022,0.518
0.5358798,0.49
0.52197635,0.552
0.53432804,0.484
0.5330775,0.498
0.5351774,0.502
0.53551507,0.498
0.53518444,0.466
0.53216493,0.534
0.5374871,0.466
0.5321266,0.506
0.5291467,0.582
0.5328211,0.532
0.53446704,0.496
0.53142446,0.528
0.53119385,0.542
0.5301545,0.514
0.52990234,0.504
0.5245592,0.524
0.53078055,0.49
0.52885556,0.534
0.513658,0.51
0.5121802,0.492
0.5079971,0.566
0.50433844,0.58
0.5079475,0.582
0.52003515,0.482
0.5154553,0.484
0.5122229,0.512
0.51213014,0.508
0.51550186,0.5
0.51351714,0.514
0.5088587,0.556
0.50848806,0.538
0.51243424,0.51
0.5153544,0.526
0.5137196,0.512
0.5176488,0.51
0.5135397,0.498
0.5144434,0.514
0.5113901,0.504
0.5215676,0.474
0.5144186,0.53
0.5090534,0.566
0.5125486,0.518
0.5110105,0.53
0.5103131,0.538
0.50680846,0.552
0.5074171,0.532
0.51061535,0.558
0.51486176,0.494
0.5142075,0.54
0.50822824,0.54
0.5157001,0.488
0.5108145,0.504
0.51424265,0.466
0.5177766,0.486
0.51385415,0.508
0.5127985,0.48
0.5148114,0.498
0.5124267,0.542
0.50392455,0.614
0.5103027,0.546
0.51192373,0.512
0.51472,0.47
0.5104405,0.534
0.5054793,0.586
0.5099488,0.54
0.50668156,0.57
0.5163616,0.524
0.5116621,0.532
0.51223534,0.534
0.51313627,0.53
0.51558656,0.496
0.5067353,0.54
0.51107985,0.538
0.51250327,0.55
0.51176643,0.552
0.50969416,0.55
0.50860393,0.55
0.50339895,0.63
0.50914854,0.56
0.5125445,0.508
0.51330286,0.548
0.51101655,0.53
0.51325107,0.554
0.51215136,0.534
0.5071376,0.558
0.51159877,0.508
0.50804275,0.578
0.51503116,0.49
0.5179801,0.476
0.5099136,0.558
0.5091345,0.564
0.5088134,0.544
0.51088184,0.516
0.5160346,0.456
0.50859225,0.558
0.51074976,0.556
0.50651073,0.518
0.51318216,0.57
0.512643,0.5
0.512505,0.534
0.51464874,0.536
0.5081673,0.576
0.5058639,0.562
0.5035229,0.588
0.51010776,0.524
0.51514256,0.48
0.51233983,0.532
0.51525843,0.514
0.5114787,0.532
0.5102819,0.544
0.50105757,0.598
0.5125001,0.56
0.5096655,0.55
0.5148542,0.502
0.5106478,0.546
0.51668775,0.528
0.51834077,0.47
