training_losses,training_recalls
0.6275673,0.33125
0.6344801,0.3
0.61611557,0.3875
0.62274486,0.4375
0.6332078,0.30625
0.6381937,0.3875
0.6251742,0.3125
0.61171544,0.4375
0.6233163,0.4
0.63352567,0.3
0.6178134,0.4375
0.6276225,0.35
0.6191174,0.35625
0.61750114,0.39375
0.59504336,0.48125
0.61233157,0.3875
0.60606444,0.46875
0.616809,0.44375
0.6474392,0.35
0.6228649,0.44375
0.61803836,0.4
0.63482744,0.31875
0.6018931,0.44375
0.62013215,0.40625
0.61805105,0.35625
0.6074437,0.4375
0.6399333,0.24375
0.6266076,0.33125
0.61649543,0.34375
0.6259535,0.4125
0.6188345,0.34375
0.6171404,0.35625
0.6200546,0.4
0.6198848,0.3375
0.6187011,0.3625
0.6385097,0.28125
0.6241609,0.33125
0.6257062,0.46875
0.61064434,0.43125
0.62018466,0.34375
0.6255107,0.3
0.6271457,0.3875
0.62247247,0.34375
0.61981535,0.35625
0.63361394,0.2875
0.6324123,0.29375
0.63263214,0.39375
0.61539924,0.38125
0.6433691,0.38125
0.6196815,0.34375
0.6178502,0.35
0.63030064,0.34375
0.63233197,0.38125
0.62462986,0.35
0.6145746,0.34375
0.61428815,0.39375
0.6213681,0.325
0.6067928,0.5125
0.6190972,0.30625
0.62395066,0.38125
0.61782897,0.35625
0.6049522,0.41875
0.6084614,0.3875
0.6118935,0.425
0.6130829,0.35625
0.6172828,0.34375
0.6173727,0.30625
0.6235504,0.425
0.6155538,0.33125
0.6074669,0.425
0.61806595,0.425
0.60555774,0.45
0.62287736,0.35625
0.6272583,0.3125
0.6209634,0.30625
0.6248499,0.325
0.62525165,0.34375
0.6266918,0.28125
0.60518557,0.38125
0.6137384,0.39375
0.620191,0.39375
0.6100813,0.4
0.61384296,0.30625
0.609342,0.33125
0.6256744,0.2375
0.6132635,0.35625
0.60557497,0.4125
0.6157727,0.4375
0.6275394,0.38125
0.6096751,0.4
0.6248685,0.34375
0.6121791,0.375
0.6193582,0.38125
0.61729085,0.4
0.6101831,0.425
0.6267366,0.2875
0.6016638,0.425
0.6202478,0.34375
0.6133164,0.38125
0.6258849,0.3875
0.60751647,0.4625
0.60970986,0.4625
0.6133348,0.3375
0.6102106,0.35625
0.6200361,0.36875
0.6247297,0.26875
0.6118929,0.35
0.59381354,0.4
0.57447594,0.50625
0.603186,0.3875
0.60846275,0.36875
0.61791193,0.46875
0.6136694,0.34375
0.6202777,0.3875
0.60889137,0.35625
0.6067451,0.3625
0.60472095,0.39375
0.6205076,0.33125
0.6056035,0.44375
0.6171175,0.36875
0.6103909,0.38125
0.6095678,0.36875
0.6054237,0.375
0.6017251,0.4125
0.6090186,0.38125
0.6259325,0.30625
0.6171056,0.39375
0.61661965,0.375
0.61504316,0.41875
0.5958024,0.425
0.62614393,0.3375
0.61831015,0.40625
0.6192494,0.40625
0.60044277,0.36875
0.61883223,0.3375
0.5980293,0.425
0.6149556,0.30625
0.6132935,0.36875
0.6118157,0.35625
0.6060751,0.38125
0.6021844,0.40625
0.6250654,0.3875
0.6090978,0.35625
0.6043526,0.425
0.60894066,0.38125
0.60499305,0.38125
0.6051628,0.39375
0.6103039,0.39375
0.6115736,0.34375
0.61894834,0.2875
0.59825265,0.36875
0.59860486,0.45625
0.59266675,0.48125
0.6078484,0.40625
0.5981744,0.39375
0.61704755,0.275
0.6097611,0.38125
0.59786844,0.38125
0.6001461,0.39375
0.62079287,0.325
0.6280054,0.325
0.6118991,0.34375
0.59653544,0.425
0.60990006,0.36875
0.6138579,0.36875
0.60438406,0.4
0.6070364,0.3625
0.6120399,0.34375
0.6056846,0.4
0.5994762,0.4375
0.6235523,0.325
0.61179817,0.4
0.6142758,0.35
0.6122871,0.4
0.60077566,0.40625
0.5971665,0.44375
0.6098015,0.3125
0.6064805,0.375
0.60539883,0.3625
0.62136817,0.35625
0.6049057,0.375
0.6027938,0.38125
0.6222685,0.375
0.5954119,0.40625
0.59693867,0.475
0.594726,0.40625
0.5954668,0.4
0.59663856,0.49375
0.6168153,0.33125
0.6031743,0.45625
0.5941496,0.4375
0.59734833,0.35625
0.6079289,0.2125
0.59578305,0.45625
0.603005,0.3625
0.61225116,0.3
0.6042904,0.375
0.60735023,0.275
0.5973164,0.38125
0.6015334,0.35
0.6243075,0.375
0.606418,0.35625
0.608403,0.29375
0.60495305,0.45625
0.5907706,0.425
0.6056987,0.46875
0.59742516,0.36875
0.6000192,0.38125
0.5899477,0.5
0.606789,0.39375
0.59915674,0.4125
0.5923475,0.45
0.5920146,0.4375
0.6103341,0.33125
0.599871,0.36875
0.61430115,0.3375
0.59555876,0.38125
0.60226107,0.44375
0.58767164,0.44375
0.5942817,0.45625
0.57995915,0.5125
0.59150505,0.4375
0.6199979,0.33125
0.6097102,0.34375
0.600036,0.425
0.59791934,0.45
0.5938633,0.38125
0.5928178,0.38125
0.60300195,0.4
0.59237105,0.35
0.6051547,0.4375
0.5895551,0.41875
0.59502184,0.41875
0.592373,0.45625
0.6096796,0.325
0.6018592,0.31875
0.60143006,0.41875
0.59017354,0.4
0.5919124,0.46875
0.6009517,0.39375
0.583118,0.45
0.6073453,0.3625
0.60566306,0.46875
0.61213636,0.3375
0.60263854,0.46875
0.6040324,0.3
0.608257,0.36875
0.59740114,0.4125
0.58828783,0.425
0.6045999,0.31875
0.5943737,0.475
0.6008064,0.31875
0.60590327,0.39375
0.59935415,0.3
0.6048525,0.4
0.5964451,0.4
0.6151967,0.34375
0.5981984,0.45625
0.5925352,0.45625
0.5913467,0.41875
0.60218877,0.41875
0.59793854,0.40625
0.5849063,0.40625
0.60525084,0.35
0.60822004,0.33125
0.6137085,0.325
0.5953586,0.45625
0.59071755,0.425
0.59730697,0.375
0.5995492,0.35
0.59103185,0.3875
0.60151285,0.375
0.5858685,0.525
