losses,recalls
0.539263,0.328
0.53962064,0.314
0.54595333,0.276
0.5427439,0.338
0.54506433,0.25
0.54468393,0.262
0.5444781,0.306
0.53667414,0.342
0.54569566,0.304
0.54365313,0.308
0.54381967,0.308
0.54416543,0.294
0.5425703,0.282
0.53922296,0.338
0.5406112,0.326
0.5428923,0.288
0.5454403,0.29
0.54435426,0.284
0.53893244,0.318
0.5387377,0.352
0.5396083,0.332
0.54492944,0.3
0.54861796,0.266
0.54142493,0.32
0.5392674,0.33
0.5421926,0.292
0.54518443,0.31
0.544163,0.296
0.5397263,0.328
0.5394828,0.354
0.545882,0.302
0.54287434,0.304
0.54233867,0.29
0.53923947,0.306
0.54258984,0.328
0.5382537,0.368
0.54004204,0.372
0.5403932,0.386
0.5424809,0.308
0.54828334,0.288
0.53707653,0.348
0.54174083,0.296
0.54627836,0.262
0.5450106,0.238
0.5398903,0.338
0.53924537,0.356
0.54149306,0.312
0.542436,0.302
0.5407222,0.33
0.5367725,0.378
0.5398158,0.344
0.5458706,0.276
0.54308075,0.336
0.5374851,0.322
0.54190713,0.33
0.5381551,0.356
0.5409912,0.29
0.5441583,0.312
0.5338615,0.39
0.54093397,0.286
0.5433626,0.296
0.54610115,0.278
0.54514223,0.298
0.5425952,0.324
0.54076654,0.318
0.54377156,0.312
0.5426947,0.318
0.5422905,0.312
0.5448525,0.292
0.5447971,0.318
0.5374433,0.358
0.5399626,0.322
0.54518,0.312
0.54299045,0.288
0.5385785,0.342
0.53658754,0.368
0.541821,0.334
0.5425364,0.298
0.5439476,0.306
0.5424558,0.34
0.5432937,0.27
0.54078245,0.33
0.5422624,0.284
0.5400357,0.314
0.54286486,0.31
0.546426,0.278
0.5353753,0.404
0.5372677,0.364
0.5424285,0.328
0.54769516,0.298
0.5330832,0.39
0.54093313,0.316
0.5395851,0.338
0.5366538,0.358
0.54220617,0.312
0.5376902,0.372
0.540237,0.332
0.540345,0.35
0.5454462,0.246
0.54171616,0.298
0.53995454,0.298
0.541707,0.316
0.5452869,0.292
0.5358324,0.374
0.5425208,0.284
0.5406473,0.33
0.54279125,0.314
0.5372071,0.348
0.5393379,0.356
0.5423869,0.326
0.54342633,0.352
0.53961426,0.366
0.5461604,0.302
0.5372172,0.35
0.5438588,0.29
0.54278415,0.294
0.54271334,0.33
0.53747493,0.344
0.540185,0.318
0.5358352,0.388
0.53620154,0.378
0.54257,0.302
0.5427309,0.312
0.53806436,0.354
0.53538376,0.364
0.5405718,0.368
0.5439293,0.28
0.5394616,0.344
0.5423778,0.308
0.5382303,0.356
0.54163945,0.336
0.53659004,0.362
0.5377531,0.362
0.5462737,0.306
0.5405562,0.338
0.53743565,0.362
0.5422523,0.298
0.5407592,0.328
0.5439783,0.296
0.53258795,0.372
0.52142566,0.304
0.52745134,0.338
0.5226909,0.33
0.5218692,0.348
0.52314734,0.358
0.5233973,0.322
0.51859426,0.366
0.51818085,0.356
0.5239804,0.31
0.52374935,0.332
0.52311254,0.366
0.5185574,0.406
0.5212174,0.356
0.52090394,0.356
0.5208961,0.374
0.51693946,0.376
0.5245396,0.336
0.5252987,0.358
0.5169322,0.39
0.52738774,0.314
0.51943076,0.384
0.52254957,0.372
0.52298015,0.322
0.5224144,0.364
0.5210445,0.36
0.52200204,0.384
0.5209145,0.36
0.51874924,0.386
0.51693517,0.392
0.5214079,0.358
0.52572614,0.306
0.5216878,0.33
0.52059054,0.368
0.5206389,0.344
0.52456576,0.344
0.52303654,0.336
0.51994085,0.344
0.5209692,0.36
0.5224184,0.372
0.51880753,0.396
0.51483303,0.45
0.5232754,0.358
0.5167947,0.414
0.5237984,0.364
0.5128027,0.412
0.52307737,0.348
0.5291154,0.276
0.5179855,0.4
0.51576334,0.434
0.52268153,0.332
0.5261268,0.328
0.52421474,0.33
0.5213015,0.34
0.5148434,0.422
0.5231706,0.316
0.5221669,0.354
0.5241329,0.34
0.5253807,0.306
0.5192396,0.346
0.51764303,0.372
0.5152898,0.418
0.5214581,0.374
0.5266554,0.334
0.51869065,0.394
0.5183952,0.394
0.5239192,0.402
0.51986796,0.368
0.52095425,0.35
0.5228634,0.356
0.52422196,0.324
0.51550084,0.428
0.5186765,0.392
0.5218264,0.368
0.5190091,0.352
0.52041805,0.342
0.51411676,0.43
0.5183483,0.368
0.520129,0.354
0.52093,0.37
0.5213521,0.362
0.52179044,0.38
0.5204167,0.38
0.51792794,0.378
0.521101,0.362
0.52570444,0.332
0.5222959,0.366
0.52187157,0.336
0.52036816,0.414
0.5230989,0.35
0.5245166,0.306
0.52408683,0.302
0.523823,0.316
0.5224575,0.33
0.5247903,0.398
0.51642287,0.422
0.51444346,0.42
0.5243091,0.386
0.5183694,0.342
0.5225369,0.37
0.52016115,0.346
0.5204328,0.368
0.5203482,0.35
0.51952106,0.372
0.5202187,0.38
0.51826525,0.388
0.51927304,0.372
0.52149534,0.36
0.52093214,0.376
0.5193359,0.378
0.52027243,0.416
0.5187515,0.432
0.52498907,0.324
0.51438004,0.41
0.5127059,0.444
0.51332015,0.426
0.51317847,0.45
0.5210116,0.382
0.5180013,0.38
0.5215532,0.388
0.5124573,0.452
0.5205607,0.368
0.5227812,0.368
0.5202068,0.384
0.5122461,0.468
0.5136969,0.458
0.51737154,0.412
0.5169799,0.418
0.52361536,0.358
0.5160268,0.452
0.521031,0.382
0.52261555,0.356
0.5145061,0.47
0.51947665,0.384
0.5227167,0.358
0.52245915,0.394
0.5224082,0.398
0.5194147,0.38
0.5193089,0.372
0.52092,0.332
0.52205575,0.356
0.5213988,0.354
0.5186554,0.436
0.5222721,0.358
0.5215971,0.38
0.5199133,0.368
0.5210343,0.38
0.5148602,0.406
0.5173639,0.374
0.52109253,0.362
0.5144389,0.44
0.51913494,0.396
0.5107878,0.444
0.51529735,0.402
0.5172011,0.414
0.51791775,0.45
0.51912284,0.404
0.5162794,0.456
0.5210429,0.362
0.5213094,0.402
0.5203815,0.408
0.5161444,0.41
0.5243043,0.35
0.5152464,0.438
0.5183181,0.418
0.51594263,0.39
0.51741743,0.432
0.5149732,0.438
0.51333255,0.466
0.5171101,0.398
0.52072346,0.44
0.512215,0.474
0.5137998,0.426
0.5160819,0.43
0.5195671,0.396
0.52065814,0.342
0.52284515,0.354
0.5197924,0.43
0.51243997,0.5
0.5188125,0.416
0.5169665,0.404
0.5188057,0.394
0.52089846,0.388
0.5162561,0.426
0.5144552,0.44
0.51386654,0.468
0.51392496,0.442
0.52155143,0.388
0.5215615,0.418
0.5176908,0.42
0.51258177,0.464
0.51686895,0.432
0.5167997,0.452
0.5218946,0.346
0.5166619,0.458
0.5219706,0.358
0.517749,0.402
0.5176719,0.438
0.5156959,0.426
0.51659507,0.468
0.5176886,0.428
0.5174972,0.416
0.51618505,0.394
0.51405495,0.46
0.5168887,0.424
0.5188697,0.412
0.5196277,0.404
0.5160019,0.44
0.5179008,0.428
0.5175024,0.436
0.52060384,0.352
0.51593775,0.47
0.5172563,0.392
0.5216022,0.352
0.5142834,0.456
0.51868135,0.404
0.5193019,0.404
0.5177452,0.416
0.5172782,0.412
0.51781726,0.394
0.51410884,0.478
0.51896465,0.438
0.5220607,0.42
0.5117949,0.454
0.51673263,0.418
0.5210595,0.346
0.51692915,0.406
0.5235306,0.34
0.51806927,0.372
0.50846237,0.46
0.5216808,0.392
0.5129651,0.484
0.5196587,0.396
0.5161187,0.436
0.5161702,0.45
0.5171759,0.406
0.5107795,0.446
0.5188992,0.392
0.51424617,0.432
0.51399165,0.442
0.5179044,0.424
0.5203618,0.366
0.51073134,0.456
0.5110142,0.464
0.5180812,0.402
0.5175309,0.396
0.5092282,0.484
0.5135086,0.426
0.5180262,0.362
0.51507235,0.428
0.5178049,0.462
0.51466113,0.434
0.5147249,0.442
0.5200218,0.398
0.51517814,0.478
0.51017666,0.478
0.5183511,0.426
0.50991607,0.492
0.51521134,0.458
0.5153867,0.412
0.51534545,0.43
0.51442134,0.462
0.51814497,0.442
0.5268672,0.362
0.5146368,0.448
0.5051912,0.52
0.5124203,0.464
0.5220839,0.394
0.5179216,0.4
0.51760906,0.4
0.5155455,0.45
0.51905686,0.428
0.51704735,0.424
0.5114046,0.51
0.51299286,0.432
0.5189369,0.422
0.51854783,0.426
0.52004427,0.392
0.5178296,0.394
0.51213837,0.438
0.5191725,0.358
0.51616067,0.422
0.5169864,0.42
0.51091594,0.494
0.52036685,0.392
0.5172492,0.422
0.5164527,0.41
0.5140611,0.48
0.5200461,0.394
0.5152035,0.444
0.5112008,0.494
0.5229127,0.342
0.51234925,0.46
0.51498467,0.456
0.5181079,0.402
0.509659,0.528
0.5144227,0.41
0.5112143,0.496
0.5154879,0.434
0.5136225,0.442
0.5137947,0.456
0.5166139,0.438
0.5151226,0.418
0.51390135,0.44
0.5175521,0.408
0.517124,0.414
0.5225666,0.358
0.51283985,0.408
0.5101993,0.46
0.51002586,0.512
0.51017773,0.442
0.5112396,0.454
0.5092524,0.462
0.5113738,0.464
0.5211218,0.404
0.51212984,0.464
0.51514983,0.458
0.5165778,0.39
0.5176891,0.422
0.5143475,0.488
0.5171902,0.44
0.5125195,0.51
0.51494485,0.484
0.5159883,0.428
0.5118663,0.402
0.51213646,0.454
0.5128826,0.428
0.5154016,0.47
0.5122643,0.458
0.5116866,0.494
0.5134402,0.454
0.5090943,0.532
0.5195827,0.386
0.51590025,0.482
0.51747257,0.394
0.51806676,0.406
0.508941,0.506
0.5096303,0.49
0.5158939,0.414
0.51665473,0.43
0.5176788,0.438
0.5172068,0.416
0.5108741,0.492
0.5135933,0.462
0.51313823,0.478
0.5158304,0.434
0.5129944,0.454
0.5124727,0.442
0.51822126,0.43
0.51361054,0.422
0.51176566,0.484
0.5147708,0.434
0.513592,0.432
0.51629716,0.476
0.51507264,0.46
0.5185881,0.424
0.50827724,0.502
0.5126923,0.494
0.50854796,0.502
0.51651,0.398
0.5208766,0.364
0.51151055,0.492
0.5189136,0.41
0.5137986,0.464
0.5171133,0.4
0.51441056,0.434
0.50807506,0.498
0.510038,0.458
0.51188207,0.45
0.508573,0.522
0.51922643,0.42
0.5097184,0.506
0.50848633,0.52
0.51461035,0.488
0.51633245,0.434
0.517783,0.444
0.51042557,0.482
0.50923383,0.502
0.5162429,0.436
0.514587,0.482
0.5077056,0.486
0.5169193,0.42
0.51018167,0.466
0.5132159,0.458
0.50550014,0.506
0.5166542,0.432
0.5179338,0.432
0.5124521,0.508
0.51407635,0.442
0.5156967,0.42
0.50753725,0.52
0.5131521,0.464
0.514608,0.45
0.5112848,0.456
0.51619977,0.442
0.51617545,0.424
0.51958376,0.388
0.51180446,0.46
0.51463187,0.422
0.5155301,0.48
0.50594854,0.538
0.5131429,0.436
0.5117904,0.462
0.5105545,0.52
0.51322275,0.49
0.5081682,0.48
0.50357836,0.53
0.5059666,0.508
0.5105451,0.472
0.5057796,0.54
0.52438676,0.398
0.50866675,0.496
0.51531434,0.384
0.51139474,0.47
0.5074673,0.528
0.5055501,0.542
0.5110805,0.482
0.51123214,0.464
0.5173796,0.416
0.5124514,0.472
0.5116227,0.47
0.51478463,0.402
0.51509875,0.434
0.519217,0.41
0.5101634,0.498
0.5114172,0.472
0.5172228,0.442
0.50759965,0.51
0.5158954,0.458
0.5106388,0.484
0.51357996,0.456
0.5098892,0.46
0.5071728,0.456
0.51053137,0.448
0.5087285,0.502
0.5094715,0.474
0.510051,0.522
0.5130003,0.432
0.51429945,0.488
0.51243067,0.45
0.50918406,0.434
0.5146736,0.488
0.5073382,0.486
0.5044329,0.512
0.5102279,0.512
0.5169159,0.462
0.51154417,0.506
0.51858675,0.428
0.51126885,0.496
0.51358527,0.46
0.5068801,0.522
0.5056563,0.55
0.51303655,0.46
0.50843585,0.5
0.5131036,0.462
0.51274055,0.44
0.5113073,0.508
0.51268303,0.494
0.51096493,0.482
0.51543665,0.42
0.5138266,0.458
0.51506186,0.488
0.5084503,0.486
0.5155441,0.476
0.51210564,0.47
0.51603264,0.474
0.51247746,0.486
0.5130921,0.45
0.5183039,0.398
0.51364744,0.46
0.51551765,0.41
0.50995564,0.49
0.5133205,0.468
0.5151658,0.444
0.5127143,0.454
0.5139992,0.438
0.5082759,0.46
0.5163369,0.412
0.5098696,0.48
0.5083359,0.502
0.51980156,0.366
0.51135176,0.464
0.5178381,0.452
0.5140563,0.446
0.5115659,0.462
0.5107143,0.508
0.51083386,0.496
0.51046884,0.478
0.5157702,0.426
0.51182675,0.462
0.5077399,0.528
0.51248884,0.476
0.51117545,0.478
0.507825,0.488
0.5089212,0.536
0.5065907,0.518
0.5134423,0.482
0.5117524,0.488
0.5110255,0.482
0.51548964,0.47
0.5147852,0.47
0.51927894,0.442
0.51002324,0.486
0.5126191,0.424
0.50323164,0.544
0.50642407,0.52
0.5162809,0.406
0.51144576,0.464
0.5125423,0.486
0.5101348,0.482
0.5075481,0.564
0.50912255,0.492
0.5054149,0.568
0.5101296,0.506
0.50984985,0.552
0.51063204,0.518
0.5134837,0.462
0.5105455,0.508
0.5055345,0.536
0.5087664,0.53
0.5158393,0.46
0.51470184,0.424
0.5173635,0.412
0.51194024,0.48
0.51095885,0.49
0.5052274,0.558
0.5119633,0.528
0.5088057,0.506
0.5089181,0.522
0.5045993,0.552
0.51601833,0.478
0.50595134,0.568
0.5083554,0.514
0.509153,0.522
0.5099448,0.478
0.50723046,0.552
0.50717527,0.544
0.50927496,0.49
0.5065463,0.514
0.5075206,0.534
0.5047683,0.542
0.51344484,0.406
0.50459665,0.546
0.51594347,0.468
0.5056651,0.532
0.51019704,0.452
0.5093008,0.506
0.5101956,0.49
0.5102072,0.496
0.50679195,0.522
0.51312107,0.514
0.51340026,0.51
0.5067481,0.524
0.50779915,0.536
0.50517166,0.532
0.5028238,0.576
0.5124873,0.45
0.50473,0.514
0.51577044,0.464
0.5121085,0.488
0.5113496,0.518
0.50616026,0.546
0.5059674,0.532
0.5093622,0.542
0.5046481,0.536
0.50801474,0.506
0.50951725,0.524
0.5050829,0.524
0.5139598,0.462
0.5069348,0.548
0.5083168,0.534
0.5034599,0.536
0.50772303,0.512
0.51197857,0.474
0.5025381,0.562
0.5090005,0.494
0.50841093,0.542
0.5123977,0.508
0.50599533,0.528
0.5126964,0.488
0.5060052,0.526
0.509891,0.522
0.5105108,0.47
0.50798017,0.516
0.50831044,0.496
0.50741524,0.52
0.50730056,0.548
0.5054401,0.51
0.5071239,0.526
0.512439,0.432
0.5061604,0.53
0.5100956,0.484
0.50759786,0.528
0.51657987,0.44
0.5100589,0.516
0.51179004,0.48
0.51207864,0.494
0.5068048,0.502
0.5075421,0.504
0.51045454,0.52
0.5092394,0.506
0.51389414,0.412
0.5064044,0.554
0.51489097,0.424
0.505681,0.534
0.5109587,0.538
0.50876176,0.478
0.51193774,0.512
0.51273674,0.438
0.51347464,0.484
0.5052748,0.506
0.5029232,0.546
0.50868964,0.476
0.5077407,0.538
0.51230353,0.51
0.5121424,0.488
0.5087732,0.494
0.5034092,0.538
0.51001,0.524
0.5078535,0.534
0.50714844,0.512
0.5127598,0.486
0.5115293,0.486
0.5078764,0.51
0.50781643,0.43
0.5103998,0.494
0.5114303,0.502
0.515278,0.454
0.5086111,0.53
0.5108027,0.46
0.5023201,0.574
0.5078006,0.52
0.5078613,0.518
0.50732195,0.538
0.50151384,0.584
0.51250523,0.464
0.5071509,0.514
0.5059571,0.52
0.4978313,0.622
0.5049352,0.542
0.50321645,0.534
0.5089375,0.524
0.50962436,0.496
0.5045559,0.546
0.5066074,0.512
0.5029671,0.552
0.5044796,0.544
0.5094076,0.522
0.5041845,0.546
0.5095033,0.514
0.50837487,0.518
0.51334536,0.454
0.5105342,0.522
0.5076756,0.49
0.5098126,0.524
0.5027896,0.54
0.5050778,0.554
0.510206,0.512
0.505548,0.558
0.5055989,0.518
0.510151,0.444
0.49933422,0.59
0.5124574,0.498
0.513593,0.48
0.502466,0.564
0.5036392,0.54
0.51117057,0.506
0.50545835,0.554
0.5059442,0.542
0.5083552,0.506
0.5014076,0.564
0.5044202,0.526
0.50417185,0.554
0.5090301,0.482
0.51105106,0.498
0.5057,0.51
0.5030597,0.554
0.51447916,0.486
0.503024,0.562
0.503971,0.544
0.5112392,0.498
0.49545515,0.598
0.5019722,0.578
0.5045117,0.482
0.5082312,0.514
0.5071913,0.514
0.5059797,0.542
0.5061499,0.542
0.5074599,0.564
0.5143747,0.476
0.5085531,0.534
0.51103264,0.516
0.5117222,0.478
0.51467067,0.482
0.50122166,0.588
0.5001835,0.56
0.509028,0.568
0.49980295,0.602
0.5082691,0.524
0.5102845,0.518
0.5081881,0.506
0.5040407,0.574
0.50293094,0.536
0.5119313,0.488
0.50869536,0.534
0.5057762,0.548
0.51132196,0.538
0.50568867,0.552
0.5080217,0.544
0.5163814,0.49
0.51447433,0.46
0.5105525,0.504
0.5091223,0.528
0.50699514,0.508
0.510431,0.508
0.50504315,0.54
0.5047347,0.516
0.5064307,0.54
0.5046833,0.596
0.5066423,0.546
0.5038434,0.596
0.5072921,0.548
0.5119256,0.524
0.5062453,0.554
0.50348455,0.534
0.51127744,0.502
0.50116843,0.558
0.5059732,0.518
0.5047918,0.586
0.5096061,0.518
0.51294804,0.446
0.50679123,0.566
0.49873322,0.622
0.50423133,0.536
0.50375926,0.576
0.5027617,0.542
0.50660664,0.558
0.507916,0.54
0.5125696,0.428
0.5036579,0.582
0.5092867,0.526
0.5065087,0.544
0.5102407,0.508
0.5109969,0.496
0.5028973,0.548
0.50384694,0.552
0.5014809,0.566
0.5121122,0.484
0.5054081,0.492
0.5026,0.564
0.5096068,0.542
0.5056594,0.536
0.50633514,0.566
0.5121671,0.494
0.5105611,0.52
0.5050796,0.522
0.5128765,0.48
0.5041677,0.568
0.4989835,0.566
0.5134186,0.476
0.5040558,0.55
0.50667346,0.558
0.5111728,0.526
0.5066444,0.538
0.5065445,0.55
0.50376886,0.552
0.49908322,0.598
0.50231326,0.592
0.504587,0.58
0.50480783,0.568
